2018-11-02 15:35:12.1667| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 15:35:12.1667| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 15:35:12.1667| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 15:35:12.1667| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 15:35:12.1667| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b
2018-11-02 15:35:12.1667| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b
2018-11-02 15:35:12.1987| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 15:35:12.1987| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 15:35:35.9631| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 15:35:35.9631| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 15:36:05.9110| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 15:36:05.9110| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 15:36:10.6782| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 15:36:10.6782| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 15:36:10.6942| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 15:36:10.6942| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 15:36:10.6942| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b
2018-11-02 15:36:10.6942| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b
2018-11-02 15:36:10.7201| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 15:36:10.7201| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 15:36:34.1787| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 15:36:34.1787| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 15:37:03.5596| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 15:37:03.5596| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 15:37:10.6787| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 15:37:10.6787| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 15:37:10.6787| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b
2018-11-02 15:37:10.6787| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.c9959e18-dfc7-4aa0-8f46-056091d8ff8b
2018-11-02 15:37:10.6986| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 15:37:10.6986| Debug | Quartz.Core.JobRunShell+<Run>d__9.MoveNext | Trigger instruction : NoInstruction
2018-11-02 15:37:10.6787| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 15:37:10.6787| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 16:38:53.3637| Debug | Quartz.Simpl.TaskSchedulingThreadPool.Initialize | TaskSchedulingThreadPool configured with max concurrency of 10 and TaskScheduler ThreadPoolTaskScheduler.
2018-11-02 16:38:53.3637| Debug | Quartz.Simpl.TaskSchedulingThreadPool.Initialize | TaskSchedulingThreadPool configured with max concurrency of 10 and TaskScheduler ThreadPoolTaskScheduler.
2018-11-02 16:38:53.5267| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 16:38:53.5267| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 16:38:53.5556| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 16:38:53.5556| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 16:38:53.5775| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.8bc76787-fb07-4847-9212-85688bb691f0', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 16:38:53.5775| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.8bc76787-fb07-4847-9212-85688bb691f0', class=WebApiCrud.Controllers.CronTareaMinuto
2018-11-02 16:38:54.4692| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 16:38:54.4692| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 1 triggers
2018-11-02 16:38:54.4831| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.2bb6490a-24b5-4521-a681-a5cec1fee232', class=WebApiCrud.Controllers.CronTareaHora
2018-11-02 16:38:54.4831| Debug | Quartz.Simpl.SimpleJobFactory.NewJob | Producing instance of Job 'DEFAULT.2bb6490a-24b5-4521-a681-a5cec1fee232', class=WebApiCrud.Controllers.CronTareaHora
2018-11-02 16:38:54.4931| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 16:38:54.4931| Debug | Quartz.Core.QuartzSchedulerThread.Run | Batch acquisition of 0 triggers
2018-11-02 16:38:54.4831| Debug | Quartz.Core.JobRunShell.Run | Calling Execute on job DEFAULT.8bc76787-fb07-4847-9212-85688bb691f0
